Account Number,Property Address,Permit Codes,Permit Amt,Contrib Amt,Yr Built,Eff Yr Built,Addl Impr Amt,Num Stories,Tot Liv Area SF,Tot Living PSF,Living Area,Living Area PSF,Bldg Class,Desirability,Depr Pct,Market Val,Prior Mkt Val,Mkt Change Pct,Sale Date,Sale Desc,Adj Sale Price
Acct:282432100505R0000,217 WESTBRIAR LN,,,,1995,1995,,ONE STORY,1716,$89.66 ,1716,$89.66 ,16,GOOD,0.25,"$153,860 ","$139,980 ",9.9157,,,
Acct:282432100310R0000,220 WESTBRIAR LN,,,,1995,1995,,ONE STORY,1824,$88.45 ,1824,$88.45 ,16,GOOD,0.25,"$161,330 ","$146,610 ",10.0402,,,
Acct:282432100506R0000,221 WESTBRIAR LN,,,,1993,1993,,ONE AND ONE HALF STORIES,2758,$70.14 ,2758,$70.14 ,16,GOOD,0.25,"$193,450 ","$175,130 ",10.4608,8/29/12,MARKET SALE,"$170,000 "
Acct:282432100601R0000,233 WESTBRIAR LN,,,,1992,1992,,ONE AND ONE HALF STORIES,2783,$65.88 ,2783,$65.88 ,16,GOOD,0.3,"$183,340 ","$175,880 ",4.2415,,,
Acct:282432100602R0000,237 WESTBRIAR LN,,,,1993,1993,,TWO STORIES,2746,$72.40 ,2746,$72.40 ,16,GOOD,0.25,"$198,820 ","$179,900 ",10.517,,,
Acct:282432100603R0000,241 WESTBRIAR LN,,,,1995,1995,,ONE STORY,1715,$90.12 ,1715,$90.12 ,16,GOOD,0.25,"$154,560 ","$140,600 ",9.9289,,,
Acct:282432100604R0000,245 WESTBRIAR LN,,,,1996,1996,,ONE STORY,1812,$88.31 ,1812,$88.31 ,16,GOOD,0.25,"$160,020 ","$145,450 ",10.0172,,,
Acct:282432100605R0000,249 WESTBRIAR LN,,,,1992,1992,,ONE STORY,1749,$83.79 ,1749,$83.79 ,16,GOOD,0.3,"$146,540 ","$140,870 ",4.025,,,
Acct:282432100606R0000,253 WESTBRIAR LN,,,,1992,1992,,ONE AND ONE HALF STORIES,2383,$70.34 ,2383,$70.34 ,16,GOOD,0.3,"$167,620 ","$160,920 ",4.1636,,,
Acct:282432100607R0000,257 WESTBRIAR LN,,,,1991,1991,,ONE STORY,1902,$84.11 ,1902,$84.11 ,16,GOOD,0.3,"$159,970 ","$140,080 ",14.199,,,
Acct:282432100619R0000,4500 WESTBRIAR LN,,,,1991,1991,,ONE AND ONE HALF STORIES,2783,$66.96 ,2783,$66.96 ,16,GOOD,0.3,"$186,340 ","$166,160 ",12.1449,,,
Acct:282432100401R0000,4501 WESTBRIAR LN,,,,1991,1991,"$20,000 ",TWO STORIES,2885,$70.35 ,2885,$70.35 ,16,AVERAGE,0.35,"$202,960 ","$196,260 ",3.4138,7/11/12,REMODEL AFTER SALE,"$157,000 "
Acct:282432100618R0000,4504 WESTBRIAR LN,,,,1993,1993,,ONE STORY,2371,$78.58 ,2371,$78.58 ,16,GOOD,0.25,"$186,310 ","$168,790 ",10.3798,,,
Acct:282432100402R0000,4505 WESTBRIAR LN,,,,1995,1995,"$5,000 ",ONE STORY,1716,$92.58 ,1716,$92.58 ,16,GOOD,0.25,"$158,860 ","$144,980 ",9.5737,,,
Acct:282432100617R0000,4508 WESTBRIAR LN,,,,1993,1993,"$4,500 ",ONE AND ONE HALF STORIES,3154,$65.52 ,3004,$68.79 ,16,GOOD,0.25,"$206,650 ","$187,360 ",10.2957,,,
Acct:282432100403R0000,4509 WESTBRIAR LN,,,,1995,1995,,ONE STORY,1621,$91.70 ,1621,$91.70 ,16,GOOD,0.25,"$148,640 ","$135,340 ",9.8271,,,
Acct:282432100616R0000,4512 WESTBRIAR LN,,,,1992,1992,,ONE STORY,2250,$76.53 ,2250,$76.53 ,16,GOOD,0.3,"$172,200 ","$165,290 ",4.1805,,,
Acct:282432100404R0000,4513 WESTBRIAR LN,,,,1995,1995,,ONE STORY,1720,$84.35 ,1720,$84.35 ,16,GOOD,0.25,"$145,090 ","$140,670 ",3.1421,,,
Acct:282432100615R0000,4516 WESTBRIAR LN,,,,1992,1992,,ONE AND ONE HALF STORIES,2783,$65.88 ,2783,$65.88 ,16,GOOD,0.3,"$183,340 ","$175,880 ",4.2415,,,
Acct:282432100405R0000,4517 WESTBRIAR LN,,,,1996,1996,,ONE AND ONE HALF STORIES,2125,$78.27 ,2125,$78.27 ,16,GOOD,0.25,"$166,320 ","$151,040 ",10.1165,,,
Acct:282432100614R0000,4520 WESTBRIAR LN,,,,1992,1992,,ONE STORY,2112,$77.30 ,2112,$77.30 ,16,GOOD,0.3,"$163,250 ","$156,770 ",4.1334,,,
Acct:282432100406R0000,4521 WESTBRIAR LN,,,,1995,1995,,ONE AND ONE HALF STORIES,2328,$75.12 ,2328,$75.12 ,16,GOOD,0.25,"$174,870 ","$158,630 ",10.2377,,,
Acct:282432100613R0000,4524 WESTBRIAR LN,,,,1992,1992,,ONE AND ONE HALF STORIES,3032,$67.93 ,3032,$67.93 ,16,VERY GOOD,0.25,"$205,950 ","$186,230 ",10.5891,6/29/15,MARKET SALE,"$205,000 "
Acct:282432100407R0000,4525 WESTBRIAR LN,,,,1996,1996,,ONE STORY,2007,$85.25 ,2007,$85.25 ,16,GOOD,0.25,"$171,090 ","$155,280 ",10.1816,,,
Acct:282432100612R0000,4528 WESTBRIAR LN,,,,1991,1991,"$20,000 ",ONE AND ONE HALF STORIES,2783,$69.13 ,2783,$69.13 ,16,AVERAGE,0.35,"$192,390 ","$176,430 ",9.0461,,,
