Account Number,Property Address,Permit Codes,Permit Amt,Contrib Amt,Yr Built,Eff Yr Built,Addl Impr Amt,Num Stories,Tot Liv Area SF,Tot Living PSF,Living Area,Living Area PSF,Bldg Class,Desirability,Depr Pct,Market Val,Prior Mkt Val,Mkt Change Pct,Sale Date,Sale Desc,Adj Sale Price
Acct:220955400E0320000,911 FAIRBANKS CIR,,,,2005,2005,,TWO STORIES,1520,$68.01 ,1520,$68.01 ,14,GOOD,0.15,"$103,370 ","$87,960 ",17.5193,,,
Acct:220955400F0110000,912 FAIRBANKS CIR,,,,1996,1996,,TWO STORIES,1008,$79.12 ,1008,$79.12 ,14,GOOD,0.25,"$79,750 ","$72,160 ",10.5183,,,
Acct:220955400E0310000,913 FAIRBANKS CIR,,,,1995,1995,,ONE AND ONE HALF STORIES,1045,$56.34 ,1045,$56.34 ,14,FAIR,0.35,"$58,880 ","$50,100 ",17.525,11/10/14,CASH SALE,"$50,100 "
Acct:220955400F0100000,914 FAIRBANKS CIR,,,,1995,1995,,ONE AND ONE HALF STORIES,1208,$63.35 ,1208,$63.35 ,14,AVERAGE,0.3,"$76,530 ","$70,080 ",9.2038,5/27/15,CASH SALE,"$72,000 "
Acct:220955400E0300000,915 FAIRBANKS CIR,,,,1995,1995,,ONE AND ONE HALF STORIES,1118,$61.32 ,1118,$61.32 ,14,FAIR,0.35,"$68,560 ","$62,220 ",10.1896,,,
Acct:220955400F0090000,916 FAIRBANKS CIR,,,,1995,1995,,ONE AND ONE HALF STORIES,1550,$49.82 ,1550,$49.82 ,14,FAIR,0.35,"$77,220 ","$69,910 ",10.4563,,,
Acct:220955400E0290000,917 FAIRBANKS CIR,,,,1995,1995,,TWO STORIES,1115,$66.24 ,1115,$66.24 ,14,FAIR,0.35,"$73,860 ","$53,500 ",38.0561,,,
Acct:220955400F0080000,918 FAIRBANKS CIR,,,,1996,1996,,TWO STORIES,1115,$74.78 ,1115,$74.78 ,14,GOOD,0.25,"$83,380 ","$75,370 ",10.6276,,,
Acct:220955400E0280000,919 FAIRBANKS CIR,,,,1995,1995,,TWO STORIES,1239,$62.03 ,1239,$62.03 ,14,FAIR,0.35,"$76,860 ","$62,000 ",23.9677,,,
Acct:220955400F0070000,920 FAIRBANKS CIR,,,,1987,1987,,ONE AND ONE HALF STORIES,1196,$54.52 ,1196,$54.52 ,14,GOOD,0.35,"$65,200 ","$62,860 ",3.7226,,,
Acct:220955400E0270000,921 FAIRBANKS CIR,,,,1996,1996,,TWO STORIES,1015,$69.00 ,1015,$69.00 ,14,FAIR,0.35,"$70,030 ","$63,520 ",10.2487,,,
Acct:220955400F0060000,922 FAIRBANKS CIR,,,,1987,1987,,ONE AND ONE HALF STORIES,1196,$66.37 ,1196,$66.37 ,14,EXCELLENT,0.25,"$79,380 ","$68,860 ",15.2774,11/2/15,CASH SALE,"$83,100 "
Acct:220955400E0260000,923 FAIRBANKS CIR,,,,1996,1996,,TWO STORIES,1132,$64.40 ,1132,$64.40 ,14,FAIR,0.35,"$72,900 ","$52,710 ",38.3039,,,
Acct:220955400F0050000,924 FAIRBANKS CIR,,,,1987,1987,"$1,600 ",ONE STORY,1214,$64.93 ,1214,$64.93 ,14,GOOD,0.35,"$78,820 ","$76,220 ",3.4112,,,
Acct:220955400E0250000,925 FAIRBANKS CIR,,,,1988,1988,,ONE AND ONE HALF STORIES,1196,$57.93 ,1196,$57.93 ,14,GOOD,0.3,"$69,290 ","$62,860 ",10.2291,,,
Acct:220955400F0040000,926 FAIRBANKS CIR,,,,1987,1987,,ONE AND ONE HALF STORIES,1019,$60.26 ,1019,$60.26 ,14,GOOD,0.35,"$61,410 ","$59,240 ",3.6631,,,
Acct:220955400E0240000,927 FAIRBANKS CIR,,,,1988,1988,,ONE STORY,1214,$63.61 ,1214,$63.61 ,14,AVERAGE,0.35,"$77,220 ","$70,580 ",9.4078,,,
Acct:220955400F0030000,928 FAIRBANKS CIR,,,,1987,1987,,TWO STORIES,1196,$57.43 ,1196,$57.43 ,14,GOOD,0.35,"$68,690 ","$66,200 ",3.7613,,,
Acct:220955400E0230000,929 FAIRBANKS CIR,,,,1987,1987,,ONE AND ONE HALF STORIES,1148,$57.20 ,1148,$57.20 ,14,AVERAGE,0.4,"$65,660 ","$63,850 ",2.8348,,,
Acct:220955400F0020000,930 FAIRBANKS CIR,,,,1987,1987,,ONE AND ONE HALF STORIES,1148,$55.44 ,1148,$55.44 ,14,GOOD,0.35,"$63,640 ","$61,370 ",3.6989,,,
Acct:220955400E0220000,931 FAIRBANKS CIR,,,,1987,1987,,ONE AND ONE HALF STORIES,1148,$55.44 ,1148,$55.44 ,14,GOOD,0.35,"$63,640 ","$61,370 ",3.6989,,,
Acct:220955400F0010000,932 FAIRBANKS CIR,,,,1987,1987,,ONE STORY,1120,$59.63 ,1120,$59.63 ,14,GOOD,0.35,"$66,780 ","$64,370 ",3.744,,,
Acct:220955400E0210000,933 FAIRBANKS CIR,,,,1987,1987,,ONE AND ONE HALF STORIES,1019,$60.26 ,1019,$60.26 ,14,GOOD,0.35,"$61,410 ","$59,240 ",3.6631,,,
Acct:220955400E0200000,935 FAIRBANKS CIR,,,,1987,1987,,ONE AND ONE HALF STORIES,1148,$51.97 ,1148,$51.97 ,14,AVERAGE,0.4,"$59,660 ","$54,320 ",9.8306,,,
Acct:220955400E0190000,937 FAIRBANKS CIR,,,,1987,1987,,ONE AND ONE HALF STORIES,1196,$54.52 ,1196,$54.52 ,14,GOOD,0.35,"$65,200 ","$62,860 ",3.7226,,,
Acct:220955400E0180000,939 FAIRBANKS CIR,,,,1987,1987,,ONE AND ONE HALF STORIES,1148,$55.44 ,1148,$55.44 ,14,GOOD,0.35,"$63,640 ","$61,370 ",3.6989,,,
Acct:220955400E0170000,941 FAIRBANKS CIR,,,,1987,1987,,TWO STORIES,1019,$60.66 ,1019,$60.66 ,14,AVERAGE,0.4,"$61,810 ","$48,860 ",26.5043,1/31/14,FORECLOSURE,"$39,150 "
Acct:220955400E0160000,943 FAIRBANKS CIR,,,,1986,1986,,ONE STORY,1096,$66.76 ,1096,$66.76 ,14,GOOD,0.35,"$73,170 ","$66,980 ",9.2416,,,
Acct:220955400E0150000,945 FAIRBANKS CIR,,,,1986,1986,,ONE STORY,1096,$66.76 ,1096,$66.76 ,14,GOOD,0.35,"$73,170 ","$66,980 ",9.2416,,,
